"","sats","bands","X","abscalfactor","effectivebandwidth","id_part","solar_zenith","view_angle","date","gain","offset","exo_thuilier","exo_chkur","exo_wrc","alt_m"
"108","WV03","G",3,0.0133187,0.0618,"010623053010_01_P001",32.2,24.5,"2017-08-11 16:13:01",0.938,-4.996,1858.1,1974.53,1971.48,617000
"109","WV03","G",117,0.0133187,0.0618,"010577871010_01_P001",29.3,8.40000000000001,"2019-08-02 16:12:01",0.938,-4.996,1858.1,1974.53,1971.48,617000
"110","WV03","N",7,0.0117971,0.1004,"010623053010_01_P001",32.2,24.5,"2017-08-11 16:13:01",0.961,-5.522,1055.94,1063.92,1071.98,617000
"111","WV03","N",121,0.0117971,0.1004,"010577871010_01_P001",29.3,8.40000000000001,"2019-08-02 16:12:01",0.961,-5.522,1055.94,1063.92,1071.98,617000
"112","WV03","N2",122,0.0106378,0.0889,"010577871010_01_P001",29.3,8.40000000000001,"2019-08-02 16:12:01",0.978,-2.992,858.77,858.632,863.296,617000
"113","WV03","P",123,0.0527336,0.2896,"010577871010_01_P001",29.3,8.2,"2019-08-02 16:12:16",0.95,-3.692,1574.41,1578.28,1583.58,617000
"114","WV03","P",132,0.0530468,0.2896,"010577871010_01_P002",29.3,13.7,"2019-08-02 16:12:28",0.95,-3.692,1574.41,1578.28,1583.58,617000
"115","WV03","R",128,0.010257,0.0585,"010577871010_01_P002",29.3,13.6,"2019-08-02 16:12:02",0.964,-3.021,1535.33,1748.87,1749.4,617000
"116","WV03","R",119,0.0102,0.0585,"010577871010_01_P001",29.3,8.40000000000001,"2019-08-02 16:12:01",0.964,-3.021,1535.33,1748.87,1749.4,617000
"117","WV03","RE",6,0.00621996,0.0387,"010623053010_01_P001",32.2,24.5,"2017-08-11 16:13:01",1,-4.521,1348.08,1550.58,1555.11,617000
"118","WV03","Y",127,0.006901951,0.0381,"010577871010_01_P002",29.3,13.6,"2019-08-02 16:12:02",0.962,-3.649,1712.07,1858.1,1856.26,617000
"119","WV03","Y",4,0.00684307,0.0381,"010623053010_01_P001",32.2,24.5,"2017-08-11 16:13:01",0.962,-3.649,1712.07,1858.1,1856.26,617000
"120","WV03","C",1,0.0143287,0.0405,"010623053010_01_P001",32.2,24.5,"2017-08-11 16:13:01",0.905,-8.604,1757.89,1578.28,1583.58,617000
"121","WV03","G",126,0.0134134,0.0618,"010577871010_01_P002",29.3,13.6,"2019-08-02 16:12:02",0.938,-4.996,1858.1,1974.53,1971.48,617000
"122","WV03","P",9,0.0527336,0.2896,"010623053010_01_P001",32.2,24.4,"2017-08-11 16:13:17",0.95,-3.692,1574.41,1578.28,1583.58,617000
"123","WV04","B",110,0.012144,0.058972,"010629903010_01_P002",36.7,9.90000000000001,"2018-08-24 16:01:00",1,0,2009.45,2009.45,2009.45,617000
"124","WV04","B",105,0.011877,0.058972,"010629903010_01_P001",36.7,19.8,"2018-08-24 16:01:03",1,0,2009.45,2009.45,2009.45,617000
"125","WV04","G",106,0.009682,0.067195,"010629903010_01_P001",36.7,19.8,"2018-08-24 16:01:03",1,0,1831.88,1831.88,1831.88,617000
"126","WV04","N",113,0.007859,0.104893,"010629903010_01_P002",36.7,9.90000000000001,"2018-08-24 16:01:00",1,0,937.8,937.8,937.8,617000
"127","WV04","N",108,0.007710001,0.104893,"010629903010_01_P001",36.7,19.8,"2018-08-24 16:01:03",1,0,937.8,937.8,937.8,617000
"128","WV04","G",111,0.009951,0.067195,"010629903010_01_P002",36.7,9.90000000000001,"2018-08-24 16:01:00",1,0,1831.88,1831.88,1831.88,617000
"129","WV04","P",109,0.05333822,0.306681,"010629903010_01_P001",36.7,19.9,"2018-08-24 16:01:35",1,0,1608.01,1608.01,1608.01,617000
"130","WV04","P",114,0.05432461,0.306681,"010629903010_01_P002",36.7,10,"2018-08-24 16:01:06",1,0,1608.01,1608.01,1608.01,617000
"131","WV04","R",112,0.006673,0.034426,"010629903010_01_P002",36.7,9.90000000000001,"2018-08-24 16:01:00",1,0,1492.12,1492.12,1492.12,617000
"132","WV04","R",107,0.006515,0.034426,"010629903010_01_P001",36.7,19.8,"2018-08-24 16:01:03",1,0,1492.12,1492.12,1492.12,617000
